name,ttm,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
TotalRevenue,"12,836,771,000"
	OperatingRevenue,"12,836,771,000"
CostOfRevenue,"4,463,454,000"
GrossProfit,"8,373,317,000"
OperatingExpense,"4,005,563,000"
	SellingGeneralAndAdministration,"1,321,208,000"
	ResearchAndDevelopment,"1,674,608,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,009,747,000"
		DepreciationAndAmortizationInIncomeStatement,"1,009,747,000"
			Amortization,"1,009,747,000"
				AmortizationOfIntangiblesIncomeStatement,"1,009,747,000"
OperatingIncome,"4,367,754,000"
NetNonOperatingInterestIncomeExpense,"-204,232,000"
	InterestIncomeNonOperating,"36,526,000"
	InterestExpenseNonOperating,"240,758,000"
OtherIncomeExpense,"-79,293,000"
	SpecialIncomeCharges,"-76,581,000"
		RestructuringAndMergernAcquisition,"76,581,000"
	OtherNonOperatingIncomeExpenses,"-2,712,000"
PretaxIncome,"4,084,229,000"
TaxProvision,"331,854,000"
NetIncomeCommonStockholders,"3,752,375,000"
	NetIncome,"3,752,375,000"
		NetIncomeIncludingNoncontrollingInterests,"3,752,375,000"
			NetIncomeContinuousOperations,"3,752,375,000"
DilutedNIAvailtoComStockholders,"3,752,375,000"
TotalOperatingIncomeAsReported,"4,291,173,000"
TotalExpenses,"8,469,017,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"3,752,375,000"
NormalizedIncome,"3,822,733,598.863"
InterestIncome,"36,526,000"
InterestExpense,"240,758,000"
NetInterestIncome,"-204,232,000"
EBIT,"4,324,987,000"
EBITDA,"6,654,587,000"
ReconciledCostOfRevenue,"3,143,601,000"
ReconciledDepreciation,"2,329,600,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"3,752,375,000"
TotalUnusualItemsExcludingGoodwill,"-76,581,000"
TotalUnusualItems,"-76,581,000"
NormalizedEBITDA,"6,731,168,000"
TaxRateForCalcs,"0.081"
TaxEffectOfUnusualItems,"-6,222,401.137"