name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
OperatingCashFlow,"2,815,000,000","858,000,000","461,000,000","898,000,000","597,000,000","321,000,000","72,000,000","773,000,000","416,000,000","506,000,000","678,000,000","378,000,000","219,000,000","230,000,000","478,000,000","1,357,000,000","360,000,000","593,000,000","-184,000,000","1,089,000,000","240,000,000","139,000,000","294,000,000","-214,000,000","-358,000,000","346,000,000","-346,000,000"
	CashFlowFromContinuingOperatingActivities,"2,815,000,000","858,000,000","461,000,000","898,000,000","597,000,000","321,000,000","72,000,000","774,000,000","416,000,000","506,000,000","678,000,000","377,000,000","219,000,000","230,000,000","478,000,000","1,357,000,000","360,000,000","593,000,000","-184,000,000","1,089,000,000","240,000,000","139,000,000","294,000,000","-214,000,000","-358,000,000",,"-346,000,000"
		NetIncomeFromContinuingOperations,"1,174,000,000","414,000,000","581,000,000","188,000,000","-9,000,000","-837,000,000","80,000,000","336,000,000","16,000,000","-77,000,000","-605,000,000","951,000,000","-270,000,000","-355,000,000","-16,098,000,000","94,000,000","117,000,000","-11,000,000","71,000,000","302,000,000","38,000,000","-38,000,000","-19,000,000","-396,000,000","314,000,000",,"66,000,000"
		OperatingGainsLosses,"-362,000,000","-148,000,000","-392,000,000","126,000,000","52,000,000","549,000,000","-11,000,000","-110,000,000","140,000,000","27,000,000","788,000,000","7,000,000","-11,000,000","228,000,000",,"0",,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,"25,000,000",,,,"0","0","0",,"7,000,000","0","228,000,000",,"0",,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-387,000,000","-148,000,000","-392,000,000","101,000,000","52,000,000","123,000,000","-11,000,000","-110,000,000","140,000,000",,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,"27,000,000","788,000,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,055,000,000","276,000,000","269,000,000","255,000,000","254,000,000","275,000,000","277,000,000","273,000,000","262,000,000","278,000,000","292,000,000","307,000,000","315,000,000","340,000,000","355,000,000","353,000,000","356,000,000","359,000,000","350,000,000","353,000,000","353,000,000","392,000,000","388,000,000","387,000,000","282,000,000",,"132,000,000"
			DepreciationAndAmortization,"1,055,000,000","276,000,000","269,000,000","255,000,000","254,000,000","275,000,000","277,000,000","273,000,000","262,000,000","278,000,000","292,000,000","307,000,000","315,000,000","340,000,000","355,000,000","353,000,000","356,000,000","359,000,000","350,000,000","353,000,000","353,000,000","392,000,000","388,000,000","387,000,000","282,000,000",,"132,000,000"
		DeferredTax,,"52,000,000","58,000,000",,,,,"109,000,000","74,000,000",,,"425,000,000","-109,000,000",,,"97,000,000","-9,000,000","-19,000,000","-18,000,000","63,000,000","-12,000,000","-67,000,000","-233,000,000","-284,000,000",,,"-115,000,000"
			DeferredIncomeTax,,"52,000,000","58,000,000",,,,,"109,000,000","74,000,000",,,"425,000,000","-109,000,000",,,"97,000,000","-9,000,000","-19,000,000","-18,000,000","63,000,000","-12,000,000","-67,000,000","-233,000,000","-284,000,000",,,"-115,000,000"
		AssetImpairmentCharge,"217,000,000","15,000,000","18,000,000","0","127,000,000","72,000,000",,"-14,000,000","0","34,000,000","0","199,000,000","239,000,000","24,000,000","15,876,000,000",,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,"788,000,000","-1,417,000,000",,,,,,,,,,,,,,,
		StockBasedCompensation,"203,000,000","49,000,000","49,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,"-39,000,000","-59,000,000","-17,000,000","316,000,000",,"-181,000,000","169,000,000","25,000,000","78,000,000","-202,000,000","-55,000,000","177,000,000","-212,000,000","162,000,000","174,000,000","-111,000,000","109,000,000","-605,000,000","-8,000,000","-91,000,000","-215,000,000","-75,000,000","1,329,000,000","-1,230,000,000",,"-67,000,000"
		ChangeInWorkingCapital,"395,000,000","239,000,000","-63,000,000","346,000,000","-143,000,000","262,000,000","-93,000,000","10,000,000","-101,000,000","166,000,000","405,000,000","-39,000,000","-133,000,000","205,000,000","183,000,000","1,002,000,000","5,000,000","109,000,000","-605,000,000","411,000,000","-48,000,000","-215,000,000","-75,000,000","128,000,000","-1,011,000,000",,"-362,000,000"
			ChangeInReceivables,"-778,000,000","-79,000,000","-480,000,000","-135,000,000","-84,000,000","-240,000,000","-242,000,000","-350,000,000","107,000,000","32,000,000","347,000,000","122,000,000","-71,000,000","366,000,000","194,000,000","-222,000,000","-165,000,000","-113,000,000","-143,000,000","-39,000,000","-127,000,000","-174,000,000","265,000,000","-941,000,000",,,"-240,000,000"
				ChangesInAccountReceivables,"-588,000,000","9,000,000","-332,000,000","-210,000,000","-55,000,000","-156,000,000","-204,000,000","-434,000,000","41,000,000","-74,000,000","341,000,000","101,000,000","-19,000,000","419,000,000","179,000,000","-208,000,000","-148,000,000","-23,000,000","-204,000,000","-168,000,000","-1,000,000","-160,000,000","125,000,000","-941,000,000",,,"-18,000,000"
			ChangeInInventory,"-809,000,000","-67,000,000","-265,000,000","-259,000,000","-218,000,000","-203,000,000","-205,000,000","19,000,000","32,000,000","31,000,000","88,000,000","103,000,000","92,000,000","-135,000,000","-140,000,000","124,000,000","-21,000,000","-83,000,000","-220,000,000","-4,000,000","-53,000,000","-148,000,000","-134,000,000","230,000,000",,,"24,000,000"
			ChangeInPayablesAndAccruedExpense,"264,000,000","-199,000,000","43,000,000","342,000,000","78,000,000","111,000,000","74,000,000","256,000,000","-81,000,000","82,000,000","-11,000,000","-41,000,000","-180,000,000","-308,000,000","-182,000,000","300,000,000","-97,000,000","139,000,000","-93,000,000","336,000,000","140,000,000","217,000,000","101,000,000","219,000,000",,,"-16,000,000"
				ChangeInPayable,"264,000,000","-199,000,000","43,000,000","342,000,000","78,000,000","111,000,000","74,000,000","256,000,000","-81,000,000","82,000,000","-11,000,000","-41,000,000","-180,000,000","-308,000,000","-182,000,000","300,000,000","-97,000,000","139,000,000","-93,000,000","336,000,000","140,000,000","217,000,000","101,000,000","219,000,000",,,"-16,000,000"
					ChangeInAccountPayable,"264,000,000","-199,000,000","43,000,000","342,000,000","78,000,000","111,000,000","74,000,000","256,000,000","-81,000,000","82,000,000","-11,000,000","-41,000,000","-180,000,000","-308,000,000","-182,000,000","300,000,000","-97,000,000","139,000,000","-93,000,000","336,000,000","140,000,000","217,000,000","101,000,000","219,000,000",,,"-16,000,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,"106,000,000","6,000,000","21,000,000","-52,000,000","-53,000,000","15,000,000","-14,000,000","-17,000,000","-90,000,000","61,000,000",,,"-14,000,000","140,000,000",,,,"-222,000,000"
			ChangeInOtherCurrentLiabilities,,,,,,,"280,000,000","85,000,000","-159,000,000","21,000,000","-19,000,000","-223,000,000","26,000,000","282,000,000","311,000,000","437,000,000","288,000,000","360,000,000","62,000,000","171,000,000","-61,000,000","-13,000,000","-124,000,000","-106,000,000",,,"-130,000,000"
			ChangeInOtherWorkingCapital,"1,718,000,000","239,000,000","-63,000,000","346,000,000","-143,000,000","262,000,000","-93,000,000","10,000,000","-101,000,000","166,000,000","405,000,000","-39,000,000","-133,000,000","205,000,000","183,000,000","252,000,000","288,000,000","109,000,000","-605,000,000","118,000,000","-8,000,000","-215,000,000","-75,000,000","597,000,000",,,"-130,000,000"
InvestingCashFlow,"-1,548,000,000","-184,000,000","-229,000,000","-984,000,000","-150,000,000","-164,000,000","-266,000,000","-251,000,000","-82,000,000","44,000,000","-174,000,000","-67,000,000","-114,000,000","-119,000,000","-318,000,000","-386,000,000","-96,000,000","-307,000,000","-256,000,000","-374,000,000","-42,000,000","-28,000,000","-134,000,000","-244,000,000","-3,828,000,000","67,000,000","-67,000,000"
	CashFlowFromContinuingInvestingActivities,"-1,548,000,000","-184,000,000","-229,000,000","-984,000,000","-150,000,000","-164,000,000","-266,000,000","-251,000,000","-82,000,000","44,000,000","-174,000,000","-67,000,000","-114,000,000","-119,000,000","-318,000,000","-386,000,000","-96,000,000","-307,000,000","-256,000,000","-374,000,000","-42,000,000","-28,000,000","-134,000,000","-244,000,000","-3,828,000,000",,"-67,000,000"
		CapitalExpenditureReported,"-1,082,000,000","-276,000,000","-264,000,000","-241,000,000","-180,000,000","-174,000,000","-177,000,000","-129,000,000","-111,000,000","-121,000,000","-180,000,000","-127,000,000","-167,000,000","-167,000,000","-325,000,000","-103,000,000","-279,000,000","-238,000,000","-235,000,000","-342,000,000","-242,000,000","-234,000,000","-177,000,000","-248,000,000","-201,000,000",,"-76,000,000"
		NetBusinessPurchaseAndSale,"-748,000,000","11,000,000",,"-683,000,000",,,,,,,,,,,,"-30,000,000","0",,,"-121,000,000",,,,"20,000,000",,,
			PurchaseOfBusiness,"-1,041,000,000","-282,000,000",,"-683,000,000",,,,,,,,,,,,"-107,000,000","0",,,"-574,000,000",,,,"0",,,
			SaleOfBusiness,"293,000,000","293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"282,000,000","81,000,000","35,000,000","-60,000,000","30,000,000","10,000,000","-89,000,000","-122,000,000","29,000,000","165,000,000","6,000,000","60,000,000","53,000,000","48,000,000","7,000,000","-352,000,000","183,000,000","0","-21,000,000","89,000,000","220,000,000","206,000,000","43,000,000","-16,000,000","-231,000,000",,"9,000,000"
FinancingCashFlow,"-1,274,000,000","-300,000,000","-250,000,000","-295,000,000","-429,000,000","-399,000,000","-469,000,000","-558,000,000","-300,000,000","-1,030,000,000","-255,000,000","-269,000,000","-201,000,000","1,022,000,000","-327,000,000","-538,000,000","-569,000,000","-195,000,000","-232,000,000","-1,716,000,000","-275,000,000","-819,000,000","-1,553,000,000","2,707,000,000","8,372,000,000","-457,000,000","457,000,000"
	CashFlowFromContinuingFinancingActivities,"-1,274,000,000","-300,000,000","-250,000,000","-295,000,000","-429,000,000","-399,000,000","-469,000,000","-558,000,000","-300,000,000","-1,030,000,000","-255,000,000","-269,000,000","-201,000,000","1,022,000,000","-327,000,000","-538,000,000","-569,000,000","-195,000,000","-232,000,000","-1,716,000,000","-275,000,000","-819,000,000","-1,553,000,000","2,707,000,000","8,372,000,000",,"457,000,000"
		NetIssuancePaymentsOfDebt,,,"-5,000,000","-6,000,000","-7,000,000","-4,000,000","-11,000,000","-44,000,000","-15,000,000","-841,000,000","-36,000,000","-76,000,000","-21,000,000","1,203,000,000","-115,000,000","-360,000,000","-161,000,000","-13,000,000","-12,000,000","-68,000,000","-44,000,000","0","-648,000,000","3,413,000,000",,,"227,000,000"
			NetLongTermDebtIssuance,,,"-5,000,000","-6,000,000","-7,000,000","-4,000,000","-11,000,000","-44,000,000","-15,000,000","-9,000,000","-36,000,000","-76,000,000","-21,000,000","466,000,000","-115,000,000","-551,000,000","-11,000,000","-13,000,000","-12,000,000","-11,000,000","-25,000,000","0","-648,000,000",,,,"0"
				LongTermDebtIssuance,,,,"0",,,,"1,250,000,000","0","0",,"0","0","500,000,000",,,,,,,,,,,,,
				LongTermDebtPayments,,,"-5,000,000","-6,000,000","-7,000,000","-4,000,000","-11,000,000","-1,294,000,000","-15,000,000","-9,000,000","-36,000,000","-76,000,000","-21,000,000","-34,000,000","-115,000,000","-551,000,000","-11,000,000","-13,000,000","-12,000,000","-11,000,000","-25,000,000","0","-648,000,000",,,,"0"
			NetShortTermDebtIssuance,,,,"0","0","0",,"0","0","-832,000,000",,"0","0","737,000,000",,"-351,000,000","-150,000,000","-5,000,000","-36,000,000","-57,000,000","-19,000,000","-119,000,000","-181,000,000","-338,000,000",,,"227,000,000"
				ShortTermDebtIssuance,,,,,,,,,,,,"0","0","737,000,000",,,,,,,,,,,,,
				ShortTermDebtPayments,,,,"0","0","0",,,,,,,,,,,"-150,000,000","-5,000,000","-36,000,000","-57,000,000","-19,000,000",,,,,,
		NetCommonStockIssuance,"-465,000,000","-99,000,000","0","-101,000,000","-265,000,000","-226,000,000","-236,000,000","-328,000,000","-106,000,000",,,"0","0",,,"0","-250,000,000","0","0","-1,461,000,000","0","-512,000,000","-513,000,000",,,,"0"
			CommonStockPayments,"-465,000,000","-99,000,000","0","-101,000,000","-265,000,000","-226,000,000","-236,000,000","-328,000,000","-106,000,000",,,"0","0",,,"0","-250,000,000","0","0","-1,461,000,000","0","-512,000,000","-513,000,000",,,,"0"
		CashDividendsPaid,"-773,000,000","-192,000,000","-192,000,000","-191,000,000","-183,000,000","-183,000,000","-185,000,000","-186,000,000","-188,000,000","-188,000,000","-187,000,000","-186,000,000","-186,000,000","-186,000,000","-186,000,000","-467,000,000","-93,000,000","-92,000,000","-93,000,000","-586,000,000","-74,000,000","-74,000,000","-76,000,000","-79,000,000","70,000,000",,"0"
			CommonStockDividendPaid,"-773,000,000","-192,000,000","-192,000,000","-191,000,000",,,,,"-188,000,000","-188,000,000","-187,000,000","-186,000,000","-186,000,000","-186,000,000","-186,000,000","-467,000,000","-93,000,000","-92,000,000","-93,000,000","-586,000,000","-74,000,000","-74,000,000","-76,000,000","-79,000,000","70,000,000",,"0"
		NetOtherFinancingCharges,"-8,000,000","-9,000,000","-53,000,000","3,000,000","26,000,000","14,000,000","-37,000,000","0","9,000,000","-1,000,000","-32,000,000","-7,000,000","6,000,000","5,000,000","-26,000,000","289,000,000","-65,000,000","-90,000,000","-127,000,000","399,000,000","-157,000,000","-233,000,000","-316,000,000","175,000,000","8,292,000,000",,"230,000,000"
EndCashPosition,"2,921,000,000","2,805,000,000","2,415,000,000","2,488,000,000","2,851,000,000","2,928,000,000","3,191,000,000","3,853,000,000","3,926,000,000","3,913,000,000","4,382,000,000","4,132,000,000","4,061,000,000","4,132,000,000","3,010,000,000","3,249,000,000","2,808,000,000","3,138,000,000","3,073,000,000","3,723,000,000","4,765,000,000","4,879,000,000","5,631,000,000","7,030,000,000","4,777,000,000","0","1,027,000,000"
	ChangesInCash,"-7,000,000","374,000,000","-18,000,000","-381,000,000","18,000,000","-242,000,000","-663,000,000","-35,000,000","34,000,000","-480,000,000","249,000,000","41,000,000","-96,000,000","1,133,000,000","-167,000,000","433,000,000","-305,000,000","91,000,000","-672,000,000","-1,001,000,000","-77,000,000","-708,000,000","-1,393,000,000","2,249,000,000","4,186,000,000",,"44,000,000"
	EffectOfExchangeRateChanges,"-116,000,000","16,000,000","-55,000,000","18,000,000","-95,000,000","-21,000,000","1,000,000","-38,000,000","-21,000,000","11,000,000","1,000,000","30,000,000","25,000,000","-11,000,000","-72,000,000","8,000,000","-25,000,000","-26,000,000","22,000,000","-41,000,000","-37,000,000","-44,000,000","-6,000,000","4,000,000","49,000,000","-2,000,000","2,000,000"
	BeginningCashPosition,"2,928,000,000","2,415,000,000","2,488,000,000","2,851,000,000","2,928,000,000","3,191,000,000","3,853,000,000","3,926,000,000","3,913,000,000","4,382,000,000","4,132,000,000","4,061,000,000","4,132,000,000","3,010,000,000","3,249,000,000","2,808,000,000","3,138,000,000","3,073,000,000","3,723,000,000","4,765,000,000","4,879,000,000","5,631,000,000","7,030,000,000","4,777,000,000","4,133,000,000","1,027,000,000","981,000,000"
IncomeTaxPaidSupplementalData,"539,000,000","160,000,000","163,000,000","103,000,000","113,000,000","152,000,000","130,000,000","133,000,000","133,000,000","9,000,000","39,000,000",,"106,000,000","93,000,000","118,000,000","152,000,000","103,000,000","107,000,000","76,000,000","729,000,000","-523,000,000","136,000,000","82,000,000","108,000,000",,,"48,000,000"
InterestPaidSupplementalData,"308,000,000","107,000,000","50,000,000","101,000,000","50,000,000","92,000,000","48,000,000","101,000,000","47,000,000","106,000,000","51,000,000",,"47,000,000","92,000,000","49,000,000","89,000,000","59,000,000","81,000,000","56,000,000","519,000,000","-375,000,000","85,000,000","72,000,000","78,000,000",,,"8,000,000"
CapitalExpenditure,"-1,082,000,000","-276,000,000","-264,000,000","-241,000,000","-180,000,000","-174,000,000","-177,000,000","-129,000,000","-111,000,000","-121,000,000","-180,000,000","-127,000,000","-167,000,000","-167,000,000","-325,000,000","-103,000,000","-279,000,000","-238,000,000","-235,000,000","-342,000,000","-242,000,000","-234,000,000","-177,000,000","-248,000,000","-201,000,000",,"-76,000,000"
IssuanceOfDebt,,,,"0",,,,"1,250,000,000","0","0",,"0","0","1,237,000,000",,,,,,,,,,,,,
RepaymentOfDebt,,,"-5,000,000","-6,000,000","-7,000,000","-4,000,000","-11,000,000","-1,294,000,000","-15,000,000","-9,000,000","-36,000,000","-76,000,000","-21,000,000","-34,000,000","-115,000,000","-360,000,000","-161,000,000","-13,000,000","-12,000,000","-68,000,000","-44,000,000","0","-648,000,000",,,,"0"
RepurchaseOfCapitalStock,"-465,000,000","-99,000,000","0","-101,000,000","-265,000,000","-226,000,000","-236,000,000","-328,000,000","-106,000,000",,,"0","0",,,"0","-250,000,000","0","0","-1,461,000,000","0","-512,000,000","-513,000,000",,,,"0"
FreeCashFlow,"1,733,000,000","582,000,000","197,000,000","657,000,000","417,000,000","147,000,000","-105,000,000","644,000,000","305,000,000","385,000,000","498,000,000","251,000,000","52,000,000","63,000,000","153,000,000","1,254,000,000","81,000,000","355,000,000","-419,000,000","747,000,000","-2,000,000","-95,000,000","117,000,000","-462,000,000","-559,000,000","422,000,000","-422,000,000"