name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"46,559,000,000","46,158,000,000","46,909,000,000","46,616,000,000","45,333,000,000","46,846,000,000","48,086,000,000","48,010,000,000","48,094,000,000"
	CurrentAssets,"7,575,000,000","8,108,000,000","9,360,000,000","9,853,000,000","8,090,000,000","8,767,000,000","7,981,000,000","8,587,000,000","6,947,000,000"
		CashCashEquivalentsAndShortTermInvestments,"269,000,000","237,000,000","422,000,000","1,192,000,000","806,000,000","1,605,000,000","504,000,000","1,957,000,000","226,000,000"
			CashAndCashEquivalents,"269,000,000","237,000,000","422,000,000","1,192,000,000","806,000,000","1,605,000,000","504,000,000","1,957,000,000","226,000,000"
		Receivables,"1,952,000,000","2,689,000,000","3,316,000,000","2,398,000,000","2,119,000,000","2,270,000,000","2,421,000,000","2,009,000,000","1,841,000,000"
			AccountsReceivable,"1,306,000,000","2,147,000,000","2,585,000,000","1,819,000,000","1,734,000,000","1,936,000,000","1,669,000,000","1,328,000,000","1,298,000,000"
				GrossAccountsReceivable,"1,357,000,000","2,194,000,000","2,631,000,000","1,874,000,000","1,783,000,000","1,986,000,000","1,724,000,000","1,412,000,000","1,330,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-51,000,000","-47,000,000","-46,000,000","-55,000,000","-49,000,000","-50,000,000","-55,000,000","-84,000,000","-32,000,000"
			DuefromRelatedPartiesCurrent,,,"0","0","0","0","160,000,000","184,000,000","153,000,000"
			OtherReceivables,"646,000,000","542,000,000","731,000,000","579,000,000","385,000,000","334,000,000","592,000,000","497,000,000","390,000,000"
		Inventory,"1,387,000,000","1,344,000,000","1,505,000,000","1,464,000,000","1,383,000,000","1,211,000,000","1,288,000,000","1,238,000,000","1,211,000,000"
			RawMaterials,"1,387,000,000","1,344,000,000","1,505,000,000","1,464,000,000","1,383,000,000","1,211,000,000","1,288,000,000","1,238,000,000","1,211,000,000"
		RestrictedCash,"56,000,000","99,000,000","106,000,000","111,000,000","120,000,000","91,000,000","72,000,000","62,000,000","89,000,000"
		AssetsHeldForSaleCurrent,,,,,,,"13,000,000","11,000,000","958,000,000"
		HedgingAssetsCurrent,"1,733,000,000","1,952,000,000","2,368,000,000","2,557,000,000","1,990,000,000","1,775,000,000","2,169,000,000","1,505,000,000","644,000,000"
		OtherCurrentAssets,"2,178,000,000","1,787,000,000","1,643,000,000","2,131,000,000","1,672,000,000","1,815,000,000","1,514,000,000","1,805,000,000","1,978,000,000"
	TotalNonCurrentAssets,"38,984,000,000","38,050,000,000","37,549,000,000","36,763,000,000","37,243,000,000","38,079,000,000","40,105,000,000","39,423,000,000","41,147,000,000"
		NetPPE,"20,239,000,000","20,074,000,000","19,822,000,000","19,705,000,000","19,739,000,000","19,837,000,000","19,612,000,000","19,574,000,000","22,214,000,000"
			GrossPPE,"37,162,000,000","36,935,000,000","36,548,000,000","36,279,000,000","35,904,000,000","35,844,000,000","35,485,000,000","35,540,000,000","35,584,000,000"
				Properties,,,"30,804,000,000",,,,"29,910,000,000",,"29,724,000,000"
				OtherProperties,,,"5,114,000,000",,,,"5,176,000,000",,"5,410,000,000"
				ConstructionInProgress,,,"630,000,000",,,,"399,000,000",,"450,000,000"
			AccumulatedDepreciation,"-16,923,000,000","-16,861,000,000","-16,726,000,000","-16,574,000,000","-16,165,000,000","-16,007,000,000","-15,873,000,000","-15,966,000,000","-13,370,000,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,"47,000,000","47,000,000"
			Goodwill,,,,,,,,"47,000,000","47,000,000"
		InvestmentsAndAdvances,"15,468,000,000","14,829,000,000","14,316,000,000","13,646,000,000","14,212,000,000","15,489,000,000","16,112,000,000","15,569,000,000","14,648,000,000"
			LongTermEquityInvestment,,,"82,000,000",,,,,,
			InvestmentinFinancialAssets,"14,821,000,000","14,606,000,000","14,114,000,000","13,453,000,000","14,001,000,000","15,272,000,000","15,938,000,000","15,404,000,000","14,464,000,000"
				AvailableForSaleSecurities,"14,821,000,000","14,606,000,000","14,114,000,000","13,453,000,000","14,001,000,000","15,272,000,000","15,938,000,000","15,404,000,000","14,464,000,000"
			OtherInvestments,"647,000,000","223,000,000","202,000,000","193,000,000","211,000,000","217,000,000","174,000,000","165,000,000","184,000,000"
		FinancialAssets,"1,067,000,000","1,125,000,000","1,261,000,000","1,252,000,000","1,121,000,000","565,000,000","949,000,000","664,000,000","555,000,000"
		NonCurrentAccountsReceivable,,,,,,,,"265,000,000","293,000,000"
		NonCurrentDeferredAssets,"43,000,000","45,000,000","44,000,000","23,000,000","34,000,000","36,000,000","32,000,000","13,000,000","6,000,000"
			NonCurrentDeferredTaxesAssets,"43,000,000","45,000,000","44,000,000","23,000,000","34,000,000","36,000,000","32,000,000","13,000,000","6,000,000"
		DefinedPensionBenefit,,,"0","0","0","0","1,683,000,000","1,702,000,000","1,558,000,000"
		OtherNonCurrentAssets,"2,167,000,000","1,977,000,000","2,106,000,000","2,137,000,000","2,137,000,000","2,152,000,000","1,717,000,000","1,589,000,000","1,826,000,000"
TotalLiabilitiesNetMinorityInterest,"34,947,000,000","35,072,000,000","35,537,000,000","35,447,000,000","33,944,000,000","35,341,000,000","36,472,000,000","35,975,000,000","33,418,000,000"
	CurrentLiabilities,"5,225,000,000","5,947,000,000","7,839,000,000","7,887,000,000","5,878,000,000","6,434,000,000","7,996,000,000","7,796,000,000","5,219,000,000"
		PayablesAndAccruedExpenses,"2,004,000,000","2,301,000,000","3,734,000,000","3,530,000,000","2,909,000,000","2,650,000,000","2,625,000,000","2,457,000,000","2,148,000,000"
			Payables,"1,260,000,000","1,558,000,000","2,828,000,000","2,597,000,000","2,160,000,000","1,847,000,000","1,888,000,000","1,766,000,000","1,360,000,000"
				AccountsPayable,"1,260,000,000","1,558,000,000","2,828,000,000","2,597,000,000","2,160,000,000","1,847,000,000","1,757,000,000","1,612,000,000","1,253,000,000"
				DuetoRelatedPartiesCurrent,,,"0","0","0","0","131,000,000","154,000,000","107,000,000"
			CurrentAccruedExpenses,"744,000,000","743,000,000","906,000,000","933,000,000","749,000,000","803,000,000","737,000,000","691,000,000","788,000,000"
		CurrentDebtAndCapitalLeaseObligation,"1,045,000,000","866,000,000","1,302,000,000","874,000,000","384,000,000","1,271,000,000","3,302,000,000","2,596,000,000","1,322,000,000"
			CurrentDebt,"1,045,000,000","866,000,000","1,302,000,000","874,000,000","384,000,000","1,271,000,000","3,302,000,000","2,596,000,000","1,322,000,000"
				LineOfCredit,,,,,"200,000,000",,,,
				OtherCurrentBorrowings,"1,045,000,000","866,000,000","1,302,000,000","874,000,000","184,000,000","1,271,000,000","3,302,000,000","2,596,000,000","1,322,000,000"
		CurrentDeferredLiabilities,,,,,,,,"2,000,000","7,000,000"
			CurrentDeferredRevenue,,,,,,,,"2,000,000","7,000,000"
		OtherCurrentLiabilities,"2,176,000,000","2,780,000,000","2,803,000,000","3,483,000,000","2,585,000,000","2,513,000,000","2,069,000,000","2,741,000,000","1,742,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"29,722,000,000","29,125,000,000","27,698,000,000","27,560,000,000","28,066,000,000","28,907,000,000","28,476,000,000","28,179,000,000","28,199,000,000"
		LongTermProvisions,"12,971,000,000","12,831,000,000","12,699,000,000","12,564,000,000","13,402,000,000","13,276,000,000","12,819,000,000","12,635,000,000","12,054,000,000"
		LongTermDebtAndCapitalLeaseObligation,"6,156,000,000","5,763,000,000","4,466,000,000","4,480,000,000","4,507,000,000","4,548,000,000","4,894,000,000","4,914,000,000","5,890,000,000"
			LongTermDebt,"6,156,000,000","5,763,000,000","4,466,000,000","4,480,000,000","4,507,000,000","4,548,000,000","4,894,000,000","4,914,000,000","5,890,000,000"
		NonCurrentDeferredLiabilities,"3,203,000,000","2,982,000,000","3,031,000,000","2,647,000,000","2,855,000,000","3,247,000,000","3,703,000,000","3,686,000,000","3,659,000,000"
			NonCurrentDeferredTaxesLiabilities,"3,203,000,000","2,982,000,000","3,031,000,000","2,647,000,000","2,855,000,000","3,247,000,000","3,703,000,000","3,685,000,000","3,656,000,000"
			NonCurrentDeferredRevenue,,,,,,,,"1,000,000","3,000,000"
		TradeandOtherPayablesNonCurrent,"3,120,000,000","3,069,000,000","2,897,000,000","2,658,000,000","2,265,000,000","2,969,000,000","0","0","0"
		DuetoRelatedPartiesNonCurrent,,,"0","0","0","0","3,357,000,000","3,143,000,000","3,017,000,000"
		EmployeeBenefits,"1,276,000,000","1,278,000,000","1,214,000,000","1,497,000,000","1,544,000,000","1,584,000,000","847,000,000","857,000,000","858,000,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,276,000,000","1,278,000,000","1,214,000,000","1,497,000,000","1,544,000,000","1,584,000,000","847,000,000","857,000,000","858,000,000"
		DerivativeProductLiabilities,"613,000,000","700,000,000","983,000,000","1,244,000,000","1,070,000,000","773,000,000","513,000,000","511,000,000","205,000,000"
		OtherNonCurrentLiabilities,"2,383,000,000","2,502,000,000","2,408,000,000","2,470,000,000","2,423,000,000","2,510,000,000","2,343,000,000","2,433,000,000","2,516,000,000"
TotalEquityGrossMinorityInterest,"11,612,000,000","11,086,000,000","11,372,000,000","11,169,000,000","11,389,000,000","11,505,000,000","11,614,000,000","12,035,000,000","14,676,000,000"
	StockholdersEquity,"11,256,000,000","10,728,000,000","11,018,000,000","10,803,000,000","11,000,000,000","11,105,000,000","11,219,000,000","11,634,000,000","12,399,000,000"
		CapitalStock,"12,808,000,000","13,029,000,000","13,274,000,000","13,255,000,000","13,241,000,000","13,212,000,000",,,
			CommonStock,"12,808,000,000","13,029,000,000","13,274,000,000","13,255,000,000","13,241,000,000","13,212,000,000",,,
		RetainedEarnings,"248,000,000","-493,000,000","-496,000,000","-483,000,000","-249,000,000","-91,000,000","768,000,000","1,185,000,000","2,805,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,800,000,000","-1,808,000,000","-1,760,000,000","-1,969,000,000","-1,992,000,000","-2,016,000,000","-31,000,000","-31,000,000","-30,000,000"
			OtherEquityAdjustments,"-1,800,000,000","-1,808,000,000","-1,760,000,000","-1,969,000,000","-1,992,000,000","-2,016,000,000","-31,000,000","-31,000,000","-30,000,000"
		OtherEquityInterest,,,,,,,"10,482,000,000","10,480,000,000","9,624,000,000"
	MinorityInterest,"356,000,000","358,000,000","354,000,000","366,000,000","389,000,000","400,000,000","395,000,000","401,000,000","2,277,000,000"
TotalCapitalization,"17,412,000,000","16,491,000,000","15,484,000,000","15,283,000,000","15,507,000,000","15,653,000,000","16,113,000,000","16,548,000,000","18,289,000,000"
CommonStockEquity,"11,256,000,000","10,728,000,000","11,018,000,000","10,803,000,000","11,000,000,000","11,105,000,000","11,219,000,000","11,634,000,000","12,399,000,000"
NetTangibleAssets,"11,256,000,000","10,728,000,000","11,018,000,000","10,803,000,000","11,000,000,000","11,105,000,000","11,219,000,000","11,587,000,000","12,352,000,000"
WorkingCapital,"2,350,000,000","2,161,000,000","1,521,000,000","1,966,000,000","2,212,000,000","2,333,000,000","-15,000,000","791,000,000","1,728,000,000"
InvestedCapital,"18,457,000,000","17,357,000,000","16,786,000,000","16,157,000,000","15,891,000,000","16,924,000,000","19,415,000,000","19,144,000,000","19,611,000,000"
TangibleBookValue,"11,256,000,000","10,728,000,000","11,018,000,000","10,803,000,000","11,000,000,000","11,105,000,000","11,219,000,000","11,587,000,000","12,352,000,000"
TotalDebt,"7,201,000,000","6,629,000,000","5,768,000,000","5,354,000,000","4,891,000,000","5,819,000,000","8,196,000,000","7,510,000,000","7,212,000,000"
NetDebt,"6,932,000,000","6,392,000,000","5,346,000,000","4,162,000,000","4,085,000,000","4,214,000,000","7,692,000,000","5,553,000,000","6,986,000,000"
ShareIssued,"322,000,000","324,000,000","327,000,000","327,017,895","326,845,258","326,698,937","326,000,000","326,000,000","326,000,000"
OrdinarySharesNumber,"322,000,000","324,000,000","327,000,000","327,017,895","326,845,258","326,698,937","326,000,000","326,000,000","326,000,000"